aggregation,baseline_end,baseline_start,effective_block_trials,estimate,events,factual_probability,forcing,lower,members,natural_probability,one_sided,one_sided_point_ratio_bound,opportunities,pet_method,record_type,rsds_treatment,source,threshold,upper,window_end,window_start,years_per_member
gridcell-spei-area-mean,2010,1991,100,0.002,1,,factual,0.0,100,,False,,500,thornthwaite,probability,adjusted,GCMagicc,-2.445018869508454,0.006,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,thornthwaite,probability,adjusted,GCMagicc,-2.445018869508454,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,inf,,0.002,factual/natural,0.0,100,0.0,True,0.06776663295151063,,thornthwaite,probability_ratio,adjusted,GCMagicc,-2.445018869508454,inf,2025,2021,5
gridcell-spei-area-mean,2010,1991,400,0.0675,135,,factual,0.049,100,,False,,2000,thornthwaite,probability,adjusted,GCMagicc,-2.445018869508454,0.0875,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,0.0,0,,natural,0.0,100,,True,,2000,thornthwaite,probability,adjusted,GCMagicc,-2.445018869508454,0.0074613555287995625,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,inf,,0.0675,factual/natural,6.969243028198944,100,0.0,True,9.046613546219785,,thornthwaite,probability_ratio,adjusted,GCMagicc,-2.445018869508454,inf,2060,2041,20
regional-water-balance-spei,2010,1991,100,0.01,5,,factual,0.002,100,,False,,500,thornthwaite,probability,adjusted,GCMagicc,-2.664501190185547,0.022,2025,2021,5
regional-water-balance-spei,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,thornthwaite,probability,adjusted,GCMagicc,-2.664501190185547,0.029513049607039932,2025,2021,5
regional-water-balance-spei,2010,1991,100,inf,,0.01,factual/natural,0.06776663295151063,100,0.0,True,0.33883316475755315,,thornthwaite,probability_ratio,adjusted,GCMagicc,-2.664501190185547,inf,2025,2021,5
regional-water-balance-spei,2010,1991,400,0.16,320,,factual,0.1275,100,,False,,2000,thornthwaite,probability,adjusted,GCMagicc,-2.664501190185547,0.194,2060,2041,20
regional-water-balance-spei,2010,1991,400,0.0,0,,natural,0.0,100,,True,,2000,thornthwaite,probability,adjusted,GCMagicc,-2.664501190185547,0.0074613555287995625,2060,2041,20
regional-water-balance-spei,2010,1991,400,inf,,0.16,factual/natural,17.758167331468464,100,0.0,True,21.4438247021506,,thornthwaite,probability_ratio,adjusted,GCMagicc,-2.664501190185547,inf,2060,2041,20
gridcell-spei-area-mean,2010,1991,100,0.002,1,,factual,0.0,100,,False,,500,thornthwaite,probability,unadjusted,GCMagicc,-2.445018869508454,0.006,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,thornthwaite,probability,unadjusted,GCMagicc,-2.445018869508454,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,inf,,0.002,factual/natural,0.0,100,0.0,True,0.06776663295151063,,thornthwaite,probability_ratio,unadjusted,GCMagicc,-2.445018869508454,inf,2025,2021,5
gridcell-spei-area-mean,2010,1991,400,0.0675,135,,factual,0.049,100,,False,,2000,thornthwaite,probability,unadjusted,GCMagicc,-2.445018869508454,0.0875,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,0.0,0,,natural,0.0,100,,True,,2000,thornthwaite,probability,unadjusted,GCMagicc,-2.445018869508454,0.0074613555287995625,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,inf,,0.0675,factual/natural,6.969243028198944,100,0.0,True,9.046613546219785,,thornthwaite,probability_ratio,unadjusted,GCMagicc,-2.445018869508454,inf,2060,2041,20
gridcell-spei-area-mean,2010,1991,200,0.005,5,,factual,0.0,50,,False,,1000,thornthwaite,probability,adjusted,CanESM5,-2.445018869508454,0.011,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.0,0,,natural,0.0,50,,True,,1000,thornthwaite,probability,adjusted,CanESM5,-2.445018869508454,0.014867039231272083,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,inf,,0.005,factual/natural,0.06726288835617984,50,0.0,True,0.33631444178089925,,thornthwaite,probability_ratio,adjusted,CanESM5,-2.445018869508454,inf,2014,1995,20
regional-water-balance-spei,2010,1991,200,0.006,6,,factual,0.001,50,,False,,1000,thornthwaite,probability,adjusted,CanESM5,-2.664501190185547,0.013,2014,1995,20
regional-water-balance-spei,2010,1991,200,0.0,0,,natural,0.0,50,,True,,1000,thornthwaite,probability,adjusted,CanESM5,-2.664501190185547,0.014867039231272083,2014,1995,20
regional-water-balance-spei,2010,1991,200,inf,,0.006,factual/natural,0.06726288835617984,50,0.0,True,0.4035773301370791,,thornthwaite,probability_ratio,adjusted,CanESM5,-2.664501190185547,inf,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.005,5,,factual,0.0,50,,False,,1000,thornthwaite,probability,unadjusted,CanESM5,-2.445018869508454,0.011,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.0,0,,natural,0.0,50,,True,,1000,thornthwaite,probability,unadjusted,CanESM5,-2.445018869508454,0.014867039231272083,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,inf,,0.005,factual/natural,0.06726288835617984,50,0.0,True,0.33631444178089925,,thornthwaite,probability_ratio,unadjusted,CanESM5,-2.445018869508454,inf,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.0,0,,factual,0.0,50,,True,,1000,thornthwaite,probability,adjusted,MIROC6,-2.445018869508454,0.014867039231272083,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.0,0,,natural,0.0,50,,True,,1000,thornthwaite,probability,adjusted,MIROC6,-2.445018869508454,0.014867039231272083,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,nan,,0.0,factual/natural,nan,50,0.0,True,nan,,thornthwaite,probability_ratio,adjusted,MIROC6,-2.445018869508454,inf,2014,1995,20
regional-water-balance-spei,2010,1991,200,0.0,0,,factual,0.0,50,,True,,1000,thornthwaite,probability,adjusted,MIROC6,-2.664501190185547,0.014867039231272083,2014,1995,20
regional-water-balance-spei,2010,1991,200,0.0,0,,natural,0.0,50,,True,,1000,thornthwaite,probability,adjusted,MIROC6,-2.664501190185547,0.014867039231272083,2014,1995,20
regional-water-balance-spei,2010,1991,200,nan,,0.0,factual/natural,nan,50,0.0,True,nan,,thornthwaite,probability_ratio,adjusted,MIROC6,-2.664501190185547,inf,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.0,0,,factual,0.0,50,,True,,1000,thornthwaite,probability,unadjusted,MIROC6,-2.445018869508454,0.014867039231272083,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.0,0,,natural,0.0,50,,True,,1000,thornthwaite,probability,unadjusted,MIROC6,-2.445018869508454,0.014867039231272083,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,nan,,0.0,factual/natural,nan,50,0.0,True,nan,,thornthwaite,probability_ratio,unadjusted,MIROC6,-2.445018869508454,inf,2014,1995,20
gridcell-spei-area-mean,2010,1991,84,0.002380952380952381,1,,factual,0.0,21,,False,,420,thornthwaite,probability,adjusted,GISS-E2-1-G,-2.445018869508454,0.009523809523809525,2014,1995,20
gridcell-spei-area-mean,2010,1991,80,0.0,0,,natural,0.0,20,,True,,400,thornthwaite,probability,adjusted,GISS-E2-1-G,-2.445018869508454,0.036754197779982345,2014,1995,20
gridcell-spei-area-mean,2010,1991,84,inf,,0.002380952380952381,factual/natural,0.0,21,0.0,True,0.06478042032654929,,thornthwaite,probability_ratio,adjusted,GISS-E2-1-G,-2.445018869508454,inf,2014,1995,20
regional-water-balance-spei,2010,1991,84,0.004761904761904762,2,,factual,0.0,21,,False,,420,thornthwaite,probability,adjusted,GISS-E2-1-G,-2.664501190185547,0.01904761904761905,2014,1995,20
regional-water-balance-spei,2010,1991,80,0.0,0,,natural,0.0,20,,True,,400,thornthwaite,probability,adjusted,GISS-E2-1-G,-2.664501190185547,0.036754197779982345,2014,1995,20
regional-water-balance-spei,2010,1991,84,inf,,0.004761904761904762,factual/natural,0.0,21,0.0,True,0.12956084065309859,,thornthwaite,probability_ratio,adjusted,GISS-E2-1-G,-2.664501190185547,inf,2014,1995,20
gridcell-spei-area-mean,2010,1991,84,0.002380952380952381,1,,factual,0.0,21,,False,,420,thornthwaite,probability,unadjusted,GISS-E2-1-G,-2.445018869508454,0.009523809523809525,2014,1995,20
gridcell-spei-area-mean,2010,1991,80,0.0,0,,natural,0.0,20,,True,,400,thornthwaite,probability,unadjusted,GISS-E2-1-G,-2.445018869508454,0.036754197779982345,2014,1995,20
gridcell-spei-area-mean,2010,1991,84,inf,,0.002380952380952381,factual/natural,0.0,21,0.0,True,0.06478042032654929,,thornthwaite,probability_ratio,unadjusted,GISS-E2-1-G,-2.445018869508454,inf,2014,1995,20
gridcell-spei-area-mean,2010,1981,100,0.014,7,,factual,0.004,100,,False,,500,thornthwaite,probability,adjusted,GCMagicc,-2.138288021099054,0.028,2025,2021,5
gridcell-spei-area-mean,2010,1981,100,0.0,0,,natural,0.0,100,,True,,500,thornthwaite,probability,adjusted,GCMagicc,-2.138288021099054,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1981,100,inf,,0.014,factual/natural,0.13553326590302125,100,0.0,True,0.4743664306605744,,thornthwaite,probability_ratio,adjusted,GCMagicc,-2.138288021099054,inf,2025,2021,5
gridcell-spei-area-mean,2010,1981,400,0.209,418,,factual,0.1715,100,,False,,2000,thornthwaite,probability,adjusted,GCMagicc,-2.138288021099054,0.249,2060,2041,20
gridcell-spei-area-mean,2010,1981,400,0.0,0,,natural,0.0,100,,True,,2000,thornthwaite,probability,adjusted,GCMagicc,-2.138288021099054,0.0074613555287995625,2060,2041,20
gridcell-spei-area-mean,2010,1981,400,inf,,0.209,factual/natural,23.78924302894832,100,0.0,True,28.01099601718422,,thornthwaite,probability_ratio,adjusted,GCMagicc,-2.138288021099054,inf,2060,2041,20
gridcell-spei-area-mean,2010,1981,200,0.023,23,,factual,0.01,50,,False,,1000,thornthwaite,probability,adjusted,CanESM5,-2.138288021099054,0.04,2014,1995,20
gridcell-spei-area-mean,2010,1981,200,0.0,0,,natural,0.0,50,,True,,1000,thornthwaite,probability,adjusted,CanESM5,-2.138288021099054,0.014867039231272083,2014,1995,20
gridcell-spei-area-mean,2010,1981,200,inf,,0.023,factual/natural,0.7398917719179783,50,0.0,True,1.5470464321921364,,thornthwaite,probability_ratio,adjusted,CanESM5,-2.138288021099054,inf,2014,1995,20
gridcell-spei-area-mean,2010,1981,200,0.003,3,,factual,0.0,50,,False,,1000,thornthwaite,probability,adjusted,MIROC6,-2.138288021099054,0.008,2014,1995,20
gridcell-spei-area-mean,2010,1981,200,0.0,0,,natural,0.0,50,,True,,1000,thornthwaite,probability,adjusted,MIROC6,-2.138288021099054,0.014867039231272083,2014,1995,20
gridcell-spei-area-mean,2010,1981,200,inf,,0.003,factual/natural,0.0,50,0.0,True,0.20178866506853954,,thornthwaite,probability_ratio,adjusted,MIROC6,-2.138288021099054,inf,2014,1995,20
gridcell-spei-area-mean,2010,1981,84,0.007142857142857143,3,,factual,0.0,21,,False,,420,thornthwaite,probability,adjusted,GISS-E2-1-G,-2.138288021099054,0.02857142857142857,2014,1995,20
gridcell-spei-area-mean,2010,1981,80,0.0,0,,natural,0.0,20,,True,,400,thornthwaite,probability,adjusted,GISS-E2-1-G,-2.138288021099054,0.036754197779982345,2014,1995,20
gridcell-spei-area-mean,2010,1981,84,inf,,0.007142857142857143,factual/natural,0.0,21,0.0,True,0.19434126097964785,,thornthwaite,probability_ratio,adjusted,GISS-E2-1-G,-2.138288021099054,inf,2014,1995,20
gridcell-spei-area-mean,2010,1991,100,0.024,12,,factual,0.01,100,,False,,500,hargreaves,probability,adjusted,GCMagicc,-1.655126820567337,0.04,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,hargreaves,probability,adjusted,GCMagicc,-1.655126820567337,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,inf,,0.024,factual/natural,0.4065997977090638,100,0.0,True,0.8131995954181276,,hargreaves,probability_ratio,adjusted,GCMagicc,-1.655126820567337,inf,2025,2021,5
gridcell-spei-area-mean,2010,1991,400,0.0735,147,,factual,0.054,100,,False,,2000,hargreaves,probability,adjusted,GCMagicc,-1.655126820567337,0.0945,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,0.0005,1,,natural,0.0,100,,False,,2000,hargreaves,probability,adjusted,GCMagicc,-1.655126820567337,0.002,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,147.0,,0.0735,factual/natural,32.0,100,0.0005,True,nan,,hargreaves,probability_ratio,adjusted,GCMagicc,-1.655126820567337,inf,2060,2041,20
regional-water-balance-spei,2010,1991,100,0.092,46,,factual,0.06,100,,False,,500,hargreaves,probability,adjusted,GCMagicc,-1.7197701930999756,0.126,2025,2021,5
regional-water-balance-spei,2010,1991,100,0.006,3,,natural,0.0,100,,False,,500,hargreaves,probability,adjusted,GCMagicc,-1.7197701930999756,0.016,2025,2021,5
regional-water-balance-spei,2010,1991,100,15.333333333333332,,0.092,factual/natural,5.875,100,0.006,True,nan,,hargreaves,probability_ratio,adjusted,GCMagicc,-1.7197701930999756,inf,2025,2021,5
regional-water-balance-spei,2010,1991,400,0.161,322,,factual,0.1315,100,,False,,2000,hargreaves,probability,adjusted,GCMagicc,-1.7197701930999756,0.1920124999999998,2060,2041,20
regional-water-balance-spei,2010,1991,400,0.006,12,,natural,0.0015,100,,False,,2000,hargreaves,probability,adjusted,GCMagicc,-1.7197701930999756,0.012,2060,2041,20
regional-water-balance-spei,2010,1991,400,26.833333333333332,,0.161,factual/natural,13.15,100,0.006,False,nan,,hargreaves,probability_ratio,adjusted,GCMagicc,-1.7197701930999756,105.83333333333334,2060,2041,20
gridcell-spei-area-mean,2010,1991,100,0.028,14,,factual,0.012,100,,False,,500,hargreaves,probability,unadjusted,GCMagicc,-1.655126820567337,0.046,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,hargreaves,probability,unadjusted,GCMagicc,-1.655126820567337,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,inf,,0.028,factual/natural,0.4743664306605744,100,0.0,True,0.9487328613211488,,hargreaves,probability_ratio,unadjusted,GCMagicc,-1.655126820567337,inf,2025,2021,5
gridcell-spei-area-mean,2010,1991,400,0.078,156,,factual,0.058,100,,False,,2000,hargreaves,probability,unadjusted,GCMagicc,-1.655126820567337,0.1005,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,0.0005,1,,natural,0.0,100,,False,,2000,hargreaves,probability,unadjusted,GCMagicc,-1.655126820567337,0.002,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,156.0,,0.078,factual/natural,34.5,100,0.0005,True,nan,,hargreaves,probability_ratio,unadjusted,GCMagicc,-1.655126820567337,inf,2060,2041,20
gridcell-spei-area-mean,2010,1991,200,0.048,48,,factual,0.028,50,,False,,1000,hargreaves,probability,adjusted,CanESM5,-1.655126820567337,0.072,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.019,19,,natural,0.004,50,,False,,1000,hargreaves,probability,adjusted,CanESM5,-1.655126820567337,0.039,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,2.5263157894736845,,0.048,factual/natural,1.03125,50,0.019,False,nan,,hargreaves,probability_ratio,adjusted,CanESM5,-1.655126820567337,10.682142857142804,2014,1995,20
regional-water-balance-spei,2010,1991,200,0.082,82,,factual,0.053,50,,False,,1000,hargreaves,probability,adjusted,CanESM5,-1.7197701930999756,0.115,2014,1995,20
regional-water-balance-spei,2010,1991,200,0.029,29,,natural,0.01,50,,False,,1000,hargreaves,probability,adjusted,CanESM5,-1.7197701930999756,0.053,2014,1995,20
regional-water-balance-spei,2010,1991,200,2.8275862068965516,,0.082,factual/natural,1.3508333333333333,50,0.029,False,nan,,hargreaves,probability_ratio,adjusted,CanESM5,-1.7197701930999756,8.363636363636363,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.041,41,,factual,0.022,50,,False,,1000,hargreaves,probability,unadjusted,CanESM5,-1.655126820567337,0.063,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.012,12,,natural,0.001,50,,False,,1000,hargreaves,probability,unadjusted,CanESM5,-1.655126820567337,0.028,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,3.4166666666666665,,0.041,factual/natural,1.1806006493506493,50,0.012,False,nan,,hargreaves,probability_ratio,unadjusted,CanESM5,-1.655126820567337,23.0,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.022,22,,factual,0.01,50,,False,,1000,hargreaves,probability,adjusted,MIROC6,-1.655126820567337,0.036,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.068,68,,natural,0.04,50,,False,,1000,hargreaves,probability,adjusted,MIROC6,-1.655126820567337,0.1,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.32352941176470584,,0.022,factual/natural,0.13186813186813187,50,0.068,False,nan,,hargreaves,probability_ratio,adjusted,MIROC6,-1.655126820567337,0.6666666666666666,2014,1995,20
regional-water-balance-spei,2010,1991,200,0.042,42,,factual,0.023,50,,False,,1000,hargreaves,probability,adjusted,MIROC6,-1.7197701930999756,0.064,2014,1995,20
regional-water-balance-spei,2010,1991,200,0.105,105,,natural,0.068,50,,False,,1000,hargreaves,probability,adjusted,MIROC6,-1.7197701930999756,0.145,2014,1995,20
regional-water-balance-spei,2010,1991,200,0.4,,0.042,factual/natural,0.20338638555877087,50,0.105,False,nan,,hargreaves,probability_ratio,adjusted,MIROC6,-1.7197701930999756,0.7307692307692308,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.018,18,,factual,0.007,50,,False,,1000,hargreaves,probability,unadjusted,MIROC6,-1.655126820567337,0.031,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.061,61,,natural,0.036,50,,False,,1000,hargreaves,probability,unadjusted,MIROC6,-1.655126820567337,0.09,2014,1995,20
gridcell-spei-area-mean,2010,1991,200,0.29508196721311475,,0.018,factual/natural,0.10769230769230768,50,0.061,False,nan,,hargreaves,probability_ratio,unadjusted,MIROC6,-1.655126820567337,0.642887409200968,2014,1995,20
gridcell-spei-area-mean,2010,1991,84,0.02142857142857143,9,,factual,0.002380952380952381,21,,False,,420,hargreaves,probability,adjusted,GISS-E2-1-G,-1.655126820567337,0.047619047619047616,2014,1995,20
gridcell-spei-area-mean,2010,1991,80,0.1125,45,,natural,0.0525,20,,False,,400,hargreaves,probability,adjusted,GISS-E2-1-G,-1.655126820567337,0.1825,2014,1995,20
gridcell-spei-area-mean,2010,1991,84,0.19047619047619047,,0.02142857142857143,factual/natural,0.02115251897860595,21,0.1125,False,nan,,hargreaves,probability_ratio,adjusted,GISS-E2-1-G,-1.655126820567337,0.5714285714285715,2014,1995,20
regional-water-balance-spei,2010,1991,84,0.03333333333333333,14,,factual,0.007142857142857143,21,,False,,420,hargreaves,probability,adjusted,GISS-E2-1-G,-1.7197701930999756,0.06904761904761905,2014,1995,20
