version,iter,trend_y_true,trend_y_truesecond,trend_y_hat,trend_yera_hat
ACCESS-CM2,1,3.0550537,2.9291077,1.942627,1.691803
ACCESS-CM2,2,2.9429932,2.7766113,1.8700562,1.7377625
ACCESS-CM2,3,2.4160767,2.4741516,2.0873718,1.8018799
ACCESS-ESM1-5,1,2.0744324,2.236084,2.0014954,1.7881775
ACCESS-ESM1-5,2,2.3311157,2.24057,2.109375,1.9346619
ACCESS-ESM1-5,3,2.2375793,2.2962646,2.022583,1.8820801
CESM2,1,2.3788147,2.466339,2.3938293,1.8868408
CESM2,2,2.571106,2.332428,2.5104675,1.7262573
CESM2,3,2.3788147,2.332428,1.9990845,1.8097534
CanESM5,1,2.584198,2.5434265,1.9984436,1.9051208
CanESM5,2,2.421051,2.4429321,1.9697571,1.7662354
CanESM5,3,2.3849487,2.3459778,2.0296936,1.637207
CanESM5-CanOE,1,2.5332642,2.4797974,2.0345764,1.851593
CanESM5-CanOE,2,2.4352112,2.3933105,2.0525818,1.9517822
CanESM5-CanOE,3,2.3933105,2.4467773,2.0774536,1.9317932
EC-Earth3,1,1.7634888,2.1552124,1.1022949,1.7712097
EC-Earth3,2,1.9906921,1.9012451,1.967865,1.9114685
EC-Earth3,3,1.995758,1.4754028,1.9400024,1.8383789
EC-Earth3-Veg,1,1.6577759,2.1376648,1.5522156,1.9302979
EC-Earth3-Veg,2,2.0946655,2.0869446,1.9866333,1.9364624
EC-Earth3-Veg,3,1.714447,2.3085327,1.6002808,1.8618164
EC-Earth3-Veg-LR,1,2.2872314,2.4216003,2.0313416,1.6673584
EC-Earth3-Veg-LR,2,2.4216003,2.1730347,1.9593811,2.069397
EC-Earth3-Veg-LR,3,2.1730347,2.4216003,1.8223572,1.7952881
GISS-E2-1-G,1,2.0843506,2.0006409,1.88797,1.8267212
GISS-E2-1-G,2,2.2790833,2.2171936,1.8855896,1.8392029
GISS-E2-1-G,3,2.845642,2.7692566,1.9705505,1.8429565
IPSL-CM6A-LR,1,2.2358398,2.1669922,2.059906,1.7820435
IPSL-CM6A-LR,2,2.0736084,2.186554,1.7867737,1.9083862
IPSL-CM6A-LR,3,2.1723938,2.1207275,1.9802246,1.7391663
MIROC-ES2L,1,1.8225708,1.8118286,2.0109863,1.6872253
MIROC-ES2L,2,1.8025818,1.8051453,1.7966309,1.9027405
MIROC-ES2L,3,1.7532043,1.7650452,2.0534668,1.9977112
MIROC6,1,1.6327515,1.6332092,1.8742981,1.879303
MIROC6,2,1.7000122,1.646759,2.0749512,1.7383728
MIROC6,3,1.7179871,1.6647644,1.725708,1.8748474
UKESM1-0-LL,1,2.9499817,2.9550476,2.0055847,1.7481384
UKESM1-0-LL,2,2.6833496,2.6661377,1.9398804,1.9313354
UKESM1-0-LL,3,2.7173462,2.829712,1.7160645,1.8967285
