aggregation,baseline_end,baseline_start,effective_block_trials,estimate,events,factual_probability,forcing,lower,members,natural_probability,one_sided,one_sided_point_ratio_bound,opportunities,pet_method,record_type,rsds_treatment,source,threshold,upper,window_end,window_start,years_per_member
gridcell-spei-area-mean,2010,1991,100,0.002,1,,factual,0.0,100,,False,,500,thornthwaite,probability,adjusted,GCMagicc-CE,-2.445018869508454,0.006,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,thornthwaite,probability,adjusted,GCMagicc-CE,-2.445018869508454,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,inf,,0.002,factual/natural,0.0,100,0.0,True,0.06776663295151063,,thornthwaite,probability_ratio,adjusted,GCMagicc-CE,-2.445018869508454,inf,2025,2021,5
gridcell-spei-area-mean,2010,1991,400,0.36,720,,factual,0.3145,100,,False,,2000,thornthwaite,probability,adjusted,GCMagicc-CE,-2.445018869508454,0.406,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,0.0,0,,natural,0.0,100,,True,,2000,thornthwaite,probability,adjusted,GCMagicc-CE,-2.445018869508454,0.0074613555287995625,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,inf,,0.36,factual/natural,43.15569721307808,100,0.0,True,48.248605579838845,,thornthwaite,probability_ratio,adjusted,GCMagicc-CE,-2.445018869508454,inf,2060,2041,20
regional-water-balance-spei,2010,1991,100,0.086,43,,factual,0.056,100,,False,,500,thornthwaite,probability,adjusted,GCMagicc-CE,-2.664501190185547,0.12,2025,2021,5
regional-water-balance-spei,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,thornthwaite,probability,adjusted,GCMagicc-CE,-2.664501190185547,0.029513049607039932,2025,2021,5
regional-water-balance-spei,2010,1991,100,inf,,0.086,factual/natural,2.0329989885453186,100,0.0,True,2.913965216914957,,thornthwaite,probability_ratio,adjusted,GCMagicc-CE,-2.664501190185547,inf,2025,2021,5
regional-water-balance-spei,2010,1991,400,0.7745,1549,,factual,0.732,100,,False,,2000,thornthwaite,probability,adjusted,GCMagicc-CE,-2.664501190185547,0.8135,2060,2041,20
regional-water-balance-spei,2010,1991,400,0.0,0,,natural,0.0,100,,True,,2000,thornthwaite,probability,adjusted,GCMagicc-CE,-2.664501190185547,0.0074613555287995625,2060,2041,20
regional-water-balance-spei,2010,1991,400,inf,,0.7745,factual/natural,99.1106772952523,100,0.0,True,103.80151394884774,,thornthwaite,probability_ratio,adjusted,GCMagicc-CE,-2.664501190185547,inf,2060,2041,20
gridcell-spei-area-mean,2010,1991,100,0.002,1,,factual,0.0,100,,False,,500,thornthwaite,probability,unadjusted,GCMagicc-CE,-2.445018869508454,0.006,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,thornthwaite,probability,unadjusted,GCMagicc-CE,-2.445018869508454,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,inf,,0.002,factual/natural,0.0,100,0.0,True,0.06776663295151063,,thornthwaite,probability_ratio,unadjusted,GCMagicc-CE,-2.445018869508454,inf,2025,2021,5
gridcell-spei-area-mean,2010,1991,400,0.36,720,,factual,0.314,100,,False,,2000,thornthwaite,probability,unadjusted,GCMagicc-CE,-2.445018869508454,0.406,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,0.0,0,,natural,0.0,100,,True,,2000,thornthwaite,probability,unadjusted,GCMagicc-CE,-2.445018869508454,0.0074613555287995625,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,inf,,0.36,factual/natural,43.02167330868964,100,0.0,True,48.248605579838845,,thornthwaite,probability_ratio,unadjusted,GCMagicc-CE,-2.445018869508454,inf,2060,2041,20
gridcell-spei-area-mean,2010,1981,100,0.028,14,,factual,0.012,100,,False,,500,thornthwaite,probability,adjusted,GCMagicc-CE,-2.138288021099054,0.048,2025,2021,5
gridcell-spei-area-mean,2010,1981,100,0.0,0,,natural,0.0,100,,True,,500,thornthwaite,probability,adjusted,GCMagicc-CE,-2.138288021099054,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1981,100,inf,,0.028,factual/natural,0.4743664306605744,100,0.0,True,0.9487328613211488,,thornthwaite,probability_ratio,adjusted,GCMagicc-CE,-2.138288021099054,inf,2025,2021,5
gridcell-spei-area-mean,2010,1981,400,0.652,1304,,factual,0.6035,100,,False,,2000,thornthwaite,probability,adjusted,GCMagicc-CE,-2.138288021099054,0.7015,2060,2041,20
gridcell-spei-area-mean,2010,1981,400,0.0,0,,natural,0.0,100,,True,,2000,thornthwaite,probability,adjusted,GCMagicc-CE,-2.138288021099054,0.0074613555287995625,2060,2041,20
gridcell-spei-area-mean,2010,1981,400,inf,,0.652,factual/natural,82.02262948572604,100,0.0,True,87.3835856612637,,thornthwaite,probability_ratio,adjusted,GCMagicc-CE,-2.138288021099054,inf,2060,2041,20
gridcell-spei-area-mean,2010,1991,100,0.006,3,,factual,0.0,100,,False,,500,hargreaves,probability,adjusted,GCMagicc-CE,-1.655126820567337,0.014,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,0.0,0,,natural,0.0,100,,True,,500,hargreaves,probability,adjusted,GCMagicc-CE,-1.655126820567337,0.029513049607039932,2025,2021,5
gridcell-spei-area-mean,2010,1991,100,inf,,0.006,factual/natural,0.06776663295151063,100,0.0,True,0.2032998988545319,,hargreaves,probability_ratio,adjusted,GCMagicc-CE,-1.655126820567337,inf,2025,2021,5
gridcell-spei-area-mean,2010,1991,400,0.064,128,,factual,0.0455,100,,False,,2000,hargreaves,probability,adjusted,GCMagicc-CE,-1.655126820567337,0.0845,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,0.0,0,,natural,0.0,100,,True,,2000,hargreaves,probability,adjusted,GCMagicc-CE,-1.655126820567337,0.0074613555287995625,2060,2041,20
gridcell-spei-area-mean,2010,1991,400,inf,,0.064,factual/natural,6.5001593628394,100,0.0,True,8.57752988086024,,hargreaves,probability_ratio,adjusted,GCMagicc-CE,-1.655126820567337,inf,2060,2041,20
regional-water-balance-spei,2010,1991,100,0.09,45,,factual,0.056,100,,False,,500,hargreaves,probability,adjusted,GCMagicc-CE,-1.7197701930999756,0.126,2025,2021,5
regional-water-balance-spei,2010,1991,100,0.01,5,,natural,0.002,100,,False,,500,hargreaves,probability,adjusted,GCMagicc-CE,-1.7197701930999756,0.022,2025,2021,5
regional-water-balance-spei,2010,1991,100,9.0,,0.09,factual/natural,3.625,100,0.01,False,nan,,hargreaves,probability_ratio,adjusted,GCMagicc-CE,-1.7197701930999756,46.0,2025,2021,5
regional-water-balance-spei,2010,1991,400,0.274,548,,factual,0.2355,100,,False,,2000,hargreaves,probability,adjusted,GCMagicc-CE,-1.7197701930999756,0.315,2060,2041,20
regional-water-balance-spei,2010,1991,400,0.008,16,,natural,0.003,100,,False,,2000,hargreaves,probability,adjusted,GCMagicc-CE,-1.7197701930999756,0.0145,2060,2041,20
