source,region,case,period_start,period_end,n,mean,min,median,max,source_asset,extraction
v100,IRN,all_actual,2021,2040,5,-1.514861,-1.978285,-1.549167,-1.065268,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,all_clamped,2021,2040,5,-0.089321,-0.177668,-0.115238,0.065392,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_precipitation,2021,2040,5,-1.473405,-1.740901,-1.492412,-1.229365,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_temperature,2021,2040,5,0.069840,-0.409870,-0.055521,0.794078,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_radiation,2021,2040,5,-1.594565,-2.040222,-1.583220,-1.197779,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_wind,2021,2040,5,-1.678711,-1.965700,-1.695743,-1.358914,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_humidity,2021,2040,5,-1.490432,-1.923998,-1.494386,-1.166934,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_pressure,2021,2040,5,-1.516095,-1.980012,-1.549414,-1.066502,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_precipitation,2021,2040,5,-0.130777,-0.415052,-0.172239,0.232696,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_temperature,2021,2040,5,-1.664892,-1.941518,-1.612585,-1.467983,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_radiation,2021,2040,5,-0.023682,-0.134485,-0.092535,0.155213,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_wind,2021,2040,5,0.046644,-0.186798,0.077483,0.176188,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_humidity,2021,2040,5,-0.116958,-0.228501,-0.166070,0.047378,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_pressure,2021,2040,5,-0.088827,-0.177175,-0.115731,0.066626,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,all_actual,2041,2060,5,-2.757553,-3.580999,-3.005552,-1.748304,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,all_clamped,2041,2060,5,-0.086855,-0.173226,-0.112276,0.063911,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_precipitation,2041,2060,5,-2.458478,-3.236274,-2.656385,-1.648365,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_temperature,2041,2060,5,-0.400982,-0.892535,-0.333128,0.121653,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_radiation,2041,2060,5,-2.791359,-3.658729,-2.949044,-1.894139,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_wind,2041,2060,5,-2.938922,-3.871437,-3.123998,-1.881555,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_humidity,2041,2060,5,-2.537689,-3.326589,-2.677360,-1.631092,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_pressure,2041,2060,5,-2.758540,-3.581740,-3.008267,-1.749784,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_precipitation,2041,2060,5,-0.385683,-0.607033,-0.416533,-0.036027,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_temperature,2041,2060,5,-2.430594,-3.323627,-2.354843,-1.788772,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_radiation,2041,2060,5,-0.067855,-0.206292,-0.116471,0.192227,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_wind,2041,2060,5,0.071319,-0.156940,0.143862,0.181123,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_humidity,2041,2060,5,-0.300797,-0.473782,-0.321283,-0.042690,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_pressure,2041,2060,5,-0.086609,-0.173720,-0.112770,0.064898,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,all_actual,2081,2100,5,-4.287968,-4.934732,-4.095497,-4.010117,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,all_clamped,2081,2100,5,-0.092286,-0.184084,-0.119432,0.067859,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_precipitation,2081,2100,5,-3.887228,-4.801974,-3.799136,-3.473658,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_temperature,2081,2100,5,-0.685500,-1.347810,-0.647995,-0.211474,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_radiation,2081,2100,5,-4.240837,-4.818754,-4.101912,-4.017273,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_wind,2081,2100,5,-4.491546,-5.465268,-4.613202,-3.809994,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_humidity,2081,2100,5,-3.958789,-4.579889,-3.828007,-3.612338,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,loo_pressure,2081,2100,5,-4.291670,-4.936212,-4.101666,-4.010364,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_precipitation,2081,2100,5,-0.493026,-0.674645,-0.553979,-0.209254,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_temperature,2081,2100,5,-3.684390,-4.818754,-3.545466,-2.614929,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_radiation,2081,2100,5,-0.152742,-0.276126,-0.130537,-0.022209,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_wind,2081,2100,5,0.075512,-0.265762,0.053547,0.393831,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_humidity,2081,2100,5,-0.420972,-0.554473,-0.414559,-0.296114,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v100,IRN,only_pressure,2081,2100,5,-0.090312,-0.179149,-0.119926,0.072054,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,all_actual,2021,2040,5,-0.851567,-1.727329,-0.543368,-0.332141,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,all_clamped,2021,2040,5,0.041216,-0.035780,0.044664,0.111043,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_precipitation,2021,2040,5,-1.419611,-2.080691,-1.314004,-0.966811,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_temperature,2021,2040,5,1.351025,0.589019,1.345589,2.513757,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_radiation,2021,2040,5,-1.032936,-1.841333,-0.716348,-0.565824,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_wind,2021,2040,5,-1.142745,-1.924985,-0.930783,-0.538433,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_humidity,2021,2040,5,-1.154096,-1.906477,-0.980136,-0.644294,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_pressure,2021,2040,5,-0.853541,-1.728809,-0.545096,-0.334115,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_precipitation,2021,2040,5,0.609260,0.033313,0.534485,1.332758,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_temperature,2021,2040,5,-2.181610,-2.828378,-1.890685,-1.806046,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_radiation,2021,2040,5,0.193467,0.117952,0.161382,0.288711,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_wind,2021,2040,5,0.313887,0.152252,0.321036,0.472301,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_humidity,2021,2040,5,0.343498,0.125355,0.268970,0.696854,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_pressure,2021,2040,5,0.042696,-0.033066,0.046391,0.112523,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,all_actual,2041,2060,5,-1.566683,-2.784948,-1.318692,-0.873041,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,all_clamped,2041,2060,5,0.040227,-0.034793,0.043677,0.108575,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_precipitation,2041,2060,5,-2.325227,-3.080568,-2.230475,-1.533374,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_temperature,2041,2060,5,1.644175,0.365700,1.695497,2.702036,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_radiation,2041,2060,5,-1.759157,-2.821715,-1.604195,-1.021098,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_wind,2041,2060,5,-2.033555,-3.090932,-1.770265,-1.395682,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_humidity,2041,2060,5,-1.822081,-2.587292,-1.807279,-1.193091,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_pressure,2041,2060,5,-1.568904,-2.787168,-1.321653,-0.874769,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_precipitation,2041,2060,5,0.798771,0.261073,0.768908,1.321653,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_temperature,2041,2060,5,-3.219243,-4.374337,-3.209870,-2.507094,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_radiation,2041,2060,5,0.201855,-0.016040,0.233189,0.325231,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_wind,2041,2060,5,0.454786,0.232202,0.517952,0.691178,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_humidity,2041,2060,5,0.287975,-0.229488,0.420234,0.522394,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_pressure,2041,2060,5,0.041707,-0.033066,0.045157,0.109809,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,all_actual,2081,2100,5,-3.160269,-4.713634,-3.121777,-2.135965,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,all_clamped,2081,2100,5,0.042693,-0.037014,0.046391,0.115237,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_precipitation,2081,2100,5,-4.004193,-6.023442,-3.904010,-2.821221,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_temperature,2081,2100,5,1.808517,1.175324,1.718939,2.244540,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_radiation,2081,2100,5,-3.180010,-4.668723,-3.170635,-2.275879,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_wind,2081,2100,5,-4.091546,-5.795928,-3.938063,-3.052930,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_humidity,2081,2100,5,-3.265883,-4.761999,-3.150154,-2.553979,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,loo_pressure,2081,2100,5,-3.162243,-4.714867,-3.122023,-2.137693,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_precipitation,2081,2100,5,0.886616,0.542875,0.835287,1.356200,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_temperature,2081,2100,5,-5.034668,-7.044294,-4.642566,-4.118445,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_radiation,2081,2100,5,0.037264,-0.036027,-0.015299,0.163603,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_wind,2081,2100,5,0.857252,0.676126,0.886120,0.965577,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_humidity,2081,2100,5,0.132020,-0.148057,0.042936,0.552498,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
v101,IRN,only_pressure,2081,2100,5,0.044173,-0.037014,0.047131,0.117212,iran_spei_sensitivity_native_adapted.pdf,vector-path reconstruction
