source,run,region,baseline_mode,standardization_protocol,baseline_fit_path,member_match_policy,case,period_start,period_end,spei48_mean
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,all_actual,2021,2040,-3.3925373434341517
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,all_actual,2041,2060,-4.342252173870642
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,all_actual,2081,2100,-4.8353596749775765
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,all_clamped,2021,2040,-0.2119530636170047
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,all_clamped,2041,2060,-0.2119530636170047
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,all_clamped,2081,2100,-0.2119662156587701
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_precipitation,2021,2040,-3.216561029786584
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_precipitation,2041,2060,-4.329078355011904
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_precipitation,2081,2100,-5.162566322444349
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_temperature,2021,2040,-0.6686212066151603
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_temperature,2041,2060,-0.5666300260747963
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_temperature,2081,2100,0.09179681724183603
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_radiation,2021,2040,-3.42665615418946
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_radiation,2041,2060,-4.351843444625203
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_radiation,2081,2100,-4.819123676876317
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_wind,2021,2040,-3.6009749889885256
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_wind,2041,2060,-4.563742175722179
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_wind,2081,2100,-5.2145987968521155
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_humidity,2021,2040,-2.8490462098772302
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_humidity,2041,2060,-3.723122704071673
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_humidity,2081,2100,-4.428375174118277
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_pressure,2021,2040,-3.4056920521886735
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_pressure,2041,2060,-4.358650412091852
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,loo_pressure,2081,2100,-4.855389665351
cmip6/CanESM5,r10i1p1f1,IRN,native,member-native-zscore,,exact,only_precipitation,2021,2040,-0.3879293419347932
