source_id,ssp245_member_id,historical_member_id,member_match_policy
CanESM5,r1i1p1f1,r1i1p1f1,exact
CanESM5,r1i1p2f1,r1i1p2f1,exact
CanESM5,r2i1p1f1,r2i1p1f1,exact
CanESM5,r2i1p2f1,r2i1p2f1,exact
CanESM5,r3i1p1f1,r3i1p1f1,exact
CanESM5,r3i1p2f1,r3i1p2f1,exact
CanESM5,r4i1p1f1,r4i1p1f1,exact
CanESM5,r4i1p2f1,r4i1p2f1,exact
CanESM5,r5i1p1f1,r5i1p1f1,exact
CanESM5,r5i1p2f1,r5i1p2f1,exact
CanESM5,r6i1p1f1,r6i1p1f1,exact
CanESM5,r6i1p2f1,r6i1p2f1,exact
CanESM5,r7i1p1f1,r7i1p1f1,exact
CanESM5,r7i1p2f1,r7i1p2f1,exact
CanESM5,r8i1p1f1,r8i1p1f1,exact
CanESM5,r8i1p2f1,r8i1p2f1,exact
CanESM5,r9i1p1f1,r9i1p1f1,exact
CanESM5,r9i1p2f1,r9i1p2f1,exact
CanESM5,r10i1p1f1,r10i1p1f1,exact
CanESM5,r10i1p2f1,r10i1p2f1,exact
CanESM5,r11i1p1f1,r11i1p1f1,exact
CanESM5,r11i1p2f1,r11i1p2f1,exact
CanESM5,r12i1p1f1,r12i1p1f1,exact
CanESM5,r12i1p2f1,r12i1p2f1,exact
CanESM5,r13i1p1f1,r13i1p1f1,exact
CanESM5,r13i1p2f1,r13i1p2f1,exact
CanESM5,r14i1p1f1,r14i1p1f1,exact
CanESM5,r14i1p2f1,r14i1p2f1,exact
CanESM5,r15i1p1f1,r15i1p1f1,exact
CanESM5,r15i1p2f1,r15i1p2f1,exact
CanESM5,r16i1p1f1,r16i1p1f1,exact
CanESM5,r16i1p2f1,r16i1p2f1,exact
CanESM5,r17i1p1f1,r17i1p1f1,exact
CanESM5,r17i1p2f1,r17i1p2f1,exact
CanESM5,r18i1p1f1,r18i1p1f1,exact
CanESM5,r18i1p2f1,r18i1p2f1,exact
CanESM5,r19i1p1f1,r19i1p1f1,exact
CanESM5,r19i1p2f1,r19i1p2f1,exact
CanESM5,r20i1p1f1,r20i1p1f1,exact
CanESM5,r20i1p2f1,r20i1p2f1,exact
CanESM5,r21i1p1f1,r21i1p1f1,exact
CanESM5,r21i1p2f1,r21i1p2f1,exact
CanESM5,r22i1p1f1,r22i1p1f1,exact
CanESM5,r22i1p2f1,r22i1p2f1,exact
CanESM5,r23i1p1f1,r23i1p1f1,exact
CanESM5,r23i1p2f1,r23i1p2f1,exact
CanESM5,r24i1p1f1,r24i1p1f1,exact
CanESM5,r24i1p2f1,r24i1p2f1,exact
CanESM5,r25i1p1f1,r25i1p1f1,exact
CanESM5,r25i1p2f1,r25i1p2f1,exact
MIROC6,r1i1p1f1,r1i1p1f1,exact
MIROC6,r2i1p1f1,r2i1p1f1,exact
MIROC6,r3i1p1f1,r3i1p1f1,exact
MIROC6,r4i1p1f1,r4i1p1f1,exact
MIROC6,r5i1p1f1,r5i1p1f1,exact
MIROC6,r6i1p1f1,r6i1p1f1,exact
MIROC6,r7i1p1f1,r7i1p1f1,exact
MIROC6,r8i1p1f1,r8i1p1f1,exact
MIROC6,r9i1p1f1,r9i1p1f1,exact
MIROC6,r10i1p1f1,r10i1p1f1,exact
MIROC6,r11i1p1f1,r11i1p1f1,exact
MIROC6,r12i1p1f1,r12i1p1f1,exact
MIROC6,r13i1p1f1,r13i1p1f1,exact
MIROC6,r14i1p1f1,r14i1p1f1,exact
MIROC6,r15i1p1f1,r15i1p1f1,exact
MIROC6,r16i1p1f1,r16i1p1f1,exact
MIROC6,r17i1p1f1,r17i1p1f1,exact
MIROC6,r18i1p1f1,r18i1p1f1,exact
MIROC6,r19i1p1f1,r19i1p1f1,exact
MIROC6,r20i1p1f1,r20i1p1f1,exact
MIROC6,r21i1p1f1,r21i1p1f1,exact
MIROC6,r22i1p1f1,r22i1p1f1,exact
MIROC6,r23i1p1f1,r23i1p1f1,exact
MIROC6,r24i1p1f1,r24i1p1f1,exact
MIROC6,r25i1p1f1,r25i1p1f1,exact
MIROC6,r26i1p1f1,r26i1p1f1,exact
MIROC6,r27i1p1f1,r27i1p1f1,exact
MIROC6,r28i1p1f1,r28i1p1f1,exact
MIROC6,r29i1p1f1,r29i1p1f1,exact
MIROC6,r30i1p1f1,r30i1p1f1,exact
MIROC6,r31i1p1f1,r31i1p1f1,exact
MIROC6,r32i1p1f1,r32i1p1f1,exact
MIROC6,r33i1p1f1,r33i1p1f1,exact
MIROC6,r34i1p1f1,r34i1p1f1,exact
MIROC6,r35i1p1f1,r35i1p1f1,exact
MIROC6,r36i1p1f1,r36i1p1f1,exact
MIROC6,r37i1p1f1,r37i1p1f1,exact
MIROC6,r38i1p1f1,r38i1p1f1,exact
MIROC6,r39i1p1f1,r39i1p1f1,exact
MIROC6,r40i1p1f1,r40i1p1f1,exact
MIROC6,r41i1p1f1,r41i1p1f1,exact
MIROC6,r42i1p1f1,r42i1p1f1,exact
MIROC6,r43i1p1f1,r43i1p1f1,exact
MIROC6,r44i1p1f1,r44i1p1f1,exact
MIROC6,r45i1p1f1,r45i1p1f1,exact
MIROC6,r46i1p1f1,r46i1p1f1,exact
MIROC6,r47i1p1f1,r47i1p1f1,exact
MIROC6,r48i1p1f1,r48i1p1f1,exact
MIROC6,r49i1p1f1,r49i1p1f1,exact
MIROC6,r50i1p1f1,r50i1p1f1,exact
GISS-E2-1-G,r1i1p3f1,r1i1p3f1,exact
GISS-E2-1-G,r1i1p5f1,r1i1p5f1,exact
GISS-E2-1-G,r2i1p1f2,r2i1p1f2,exact
GISS-E2-1-G,r2i1p3f1,r2i1p3f1,exact
GISS-E2-1-G,r2i1p5f1,r2i1p5f1,exact
GISS-E2-1-G,r3i1p1f2,r3i1p1f2,exact
GISS-E2-1-G,r3i1p5f1,r3i1p5f1,exact
GISS-E2-1-G,r4i1p1f2,r4i1p1f2,exact
GISS-E2-1-G,r4i1p3f1,r4i1p3f1,exact
GISS-E2-1-G,r4i1p5f1,r4i1p5f1,exact
GISS-E2-1-G,r5i1p3f1,r5i1p3f1,exact
GISS-E2-1-G,r5i1p5f1,r1i1p1f1,same-source-fallback
GISS-E2-1-G,r6i1p5f1,r6i1p5f1,exact
GISS-E2-1-G,r7i1p1f2,r7i1p1f2,exact
GISS-E2-1-G,r7i1p5f1,r7i1p5f1,exact
GISS-E2-1-G,r8i1p1f2,r8i1p1f2,exact
GISS-E2-1-G,r8i1p5f1,r8i1p5f1,exact
GISS-E2-1-G,r9i1p1f2,r9i1p1f2,exact
GISS-E2-1-G,r9i1p5f1,r9i1p5f1,exact
GISS-E2-1-G,r10i1p1f2,r10i1p1f2,exact
GISS-E2-1-G,r10i1p5f1,r10i1p5f1,exact
GISS-E2-1-G,r101i1p1f1,r101i1p1f1,exact
