year,volcanic_erf_w_m-2,solar_erf_w_m-2
1850,0.09152955888480645,-0.005551961353980608
1851,0.09140538740955612,-0.007395838743463171
1852,0.0525094067750541,-0.007669776206989828
1853,0.0011000030630858625,-0.01108886155057304
1854,0.022111516139202494,-0.015767039390161112
1855,0.058807719417478754,-0.01864875209356931
1856,0.022971167516399795,-0.01945479416912624
1857,0.007644816326049532,-0.017437071850867143
1858,0.0587324009904736,-0.011742130809932406
1859,0.08237240400133924,-0.006926950469169823
1860,0.0748061830749361,-0.0033551058171535264
1861,-0.11167189902801246,-0.004071577906485341
1862,-0.2290761714924843,-0.008212416875309584
1863,-0.061728885785304104,-0.01064107915826985
1864,0.0431433351619412,-0.01302229541851624
1865,0.07895248151088066,-0.014939925202025212
1866,0.08988492463329258,-0.01591454417821393
1867,0.0934778256423215,-0.017394927625709194
1868,0.0947165291633605,-0.014091738901310338
1869,0.09518427378417556,-0.008064912087256767
1870,0.09539974412452241,-0.007596023812963422
1871,0.09515608531185535,-0.003960949315445729
1872,0.047751569887787136,-0.0058785790989546996
1873,0.019005428374237403,-0.009139623598195609
1874,0.054910002321192475,-0.011968656020156374
1875,0.062266898747022445,-0.017236886781366895
1876,0.07437057498547249,-0.01964974497989293
1877,0.08851751187847692,-0.021193310995713935
1878,0.09352493886794279,-0.023105672751078155
1879,0.0863553849529953,-0.022705302612077663
1880,0.07548483936624206,-0.018006052659910614
1881,0.08334910947363935,-0.011468159576994567
1882,-0.02356840470939888,-0.012864254574173938
1883,-0.5050091538824955,-0.01386521369108637
1884,-0.6412655583642941,-0.0060313519151522586
1885,-0.19443373095672148,-0.010920284649941249
1886,-0.029009873529740268,-0.01646772090282317
1887,0.024173478214057673,-0.01988680624640638
1888,0.07941144337325769,-0.021224919164582395
1889,0.06671276034422526,-0.021704343495165226
1890,-0.004360721327791053,-0.020534807477621
1891,-0.010019184715294878,-0.011952851935722144
1892,0.0639322400244604,-0.004888156038331754
1893,0.09502095629988704,0.0006645482426949076
1894,0.09683873636060819,0.007349912344252587
1895,0.09692815320603942,0.0010227876643019336
1896,0.09696274054522167,-0.007627631981831882
1897,0.09697846586509169,-0.013180336262858545
1898,0.09698568027380863,-0.01578284347459534
1899,0.09698722771220014,-0.018880579101349205
1900,0.09696635820524495,-0.020671776209384336
1901,0.07337950342972725,-0.023727333841569064
1902,-0.13815531631915773,-0.023000312188183294
1903,-0.2535746933229354,-0.016815410760376234
1904,-0.0541543323213895,-0.005573033466559582
1905,0.06126430504865971,-0.010530416797819055
1906,0.0618470780840778,-0.0024226310661227585
1907,0.045778074865772074,-0.006805785821840725
1908,0.07827876656676262,-0.004066309878340598
1909,0.09619713494537899,-0.009756016660541773
1910,0.09610997652354615,-0.013954770169547007
1911,-0.0048845833836460295,-0.020023774978169706
1912,-0.1386111456643585,-0.02234180867009036
1913,-0.07951353248443523,-0.021830776170639065
1914,0.04322196113395148,-0.01720527861249843
1915,0.08811806366018252,-0.0037818363585244534
1916,0.09518308183838756,0.007018026571133752
1917,0.09539991141515936,0.014151206834405806
1918,0.09529414190996968,0.015426103414844896
1919,0.09518494294672322,0.004404983303107467
1920,0.09507398743178919,-0.006057692055875976
1921,0.07166893157367325,-0.012532368801055105
1922,0.05166304998477244,-0.01844329899592432
1923,0.07623170841475022,-0.019786713711656256
1924,0.09460682832820334,-0.017178938471774718
1925,0.09449572643396201,-0.010040490180357915
1926,0.0943752353527238,-0.00047865438800783383
1927,0.08865126074269065,0.007523791042440303
1928,0.04637713991809275,0.0022766256399265237
1929,0.0436525095181016,-0.0004101700221261694
1930,0.09188206116811651,-0.00033641391346453137
1931,0.06066345040475063,-0.007843621135766362
1932,0.04613971853682307,-0.01343323538321741
1933,0.08367011929455011,-0.015772307418305855
1934,0.09334848906865642,-0.013169800206569054
1935,0.09321750049995177,-0.0041822064975249535
1936,0.09308074040427354,0.015289134683081566
1937,0.09294230740222618,0.016400756160444795
1938,0.09280222240513925,0.012876310253966716
1939,0.09266061088099051,0.011896423249633258
1940,0.09251720098249487,0.005337458054138236
1941,0.0923723063795967,3.236196966491536e-05
1942,0.09222590616096624,-0.006205230613339976
1943,0.09207770756798893,-0.012506028660331387
1944,0.0919278778913017,-0.010751707749309463
1945,0.09177639621957492,0.0011966393469607028
1946,0.09162330437546785,0.006954810233396833
1947,0.09146874873828778,0.02231695438345875
1948,0.09131229017011279,0.027574649088379786
1949,0.09115430507487593,0.022501335368524774
1950,0.09099468889592918,0.011137793427379023
1951,0.0908335043672613,-0.0038871969214193222
1952,0.09067054237557624,-0.004566806321502406
1953,0.09050599112284047,-0.008976314725708562
1954,0.09033982969772439,-0.00892363444426113
1955,0.09017203718889841,0.0002957731024925071
1956,0.09000255086237363,0.020604777697594775
1957,0.08983143345213893,0.03949670332110188
1958,0.0896586222242055,0.04199901668985501
1959,0.089484347203199,0.03130454809250286
1960,0.08863817025035206,0.023976450787875296
1961,0.05191801011641632,0.007734512168230042
1962,-0.15929438076873034,-0.003550043120155743
1963,-0.3372356116324552,-0.007459055081200092
1964,-0.23606668260327324,-0.009271324301814194
1965,-0.05284046239871162,-0.008259829128612275
1966,0.014230511531167972,0.00039586867648963846
1967,-0.020507539158518023,0.011106185258510563
1968,0.01749423140812602,0.016758982074287346
1969,0.038491921468027636,0.017765209219344526
1970,0.014091357715588799,0.018418478478703888
1971,0.0025389423935077314,0.008735471285142472
1972,0.04901987465057512,0.00813488230723054
1973,0.06584582471447005,-0.0015797161704937466
1974,-0.01911040856456171,-0.006347467373248049
1975,-0.04595412651334258,-0.00624210681035318
1976,0.04112868329743224,-0.0078120129668979
1977,0.06955994870127372,0.0023556494390387928
1978,0.07484110499539215,0.01792851809183157
1979,0.06518048894012848,0.031030610628976205
1980,0.047118453453662244,0.028449175529818373
1981,-0.01532020509964064,0.029307897886822736
1982,-0.19820873827969746,0.01467277539014659
1983,-0.23700202546559612,0.014056382327800425
1984,-0.0650363617830271,-0.003160182021915783
1985,-0.0032468000182951148,-0.008976314725708564
1986,0.014241544599608495,-0.008259829128612275
1987,0.042231331434601026,-0.0045878784340813794
1988,0.0627609079978332,0.010616224871638238
