source_id,model_index
ERA5,0
ACCESS-CM2,1
ACCESS-ESM1-5,2
BCC-CSM2-MR,3
BCC-ESM1,4
CESM2,5
CESM2-WACCM,6
CanESM5,7
CanESM5-1,8
CanESM5-CanOE,9
EC-Earth3,10
EC-Earth3-AerChem,11
EC-Earth3-CC,12
EC-Earth3-Veg,13
EC-Earth3-Veg-LR,14
FGOALS-g3,15
GFDL-CM4,16
GFDL-ESM4,17
GISS-E2-1-G,18
GISS-E2-1-G-CC,19
GISS-E2-1-H,20
GISS-E2-2-G,21
GISS-E2-2-H,22
HadGEM3-GC31-LL,23
HadGEM3-GC31-MM,24
INM-CM4-8,25
INM-CM5-0,26
IPSL-CM6A-LR,27
IPSL-CM6A-LR-INCA,28
IPSL-CM6A-MR1,29
MIROC-ES2H,30
MIROC-ES2L,31
MIROC6,32
SAM0-UNICON,33
UKESM1-0-LL,34
