version,iter,trend_y_true,trend_y_truesecond,trend_y_hat,trend_yera_hat
ACCESS-CM2,1,2.5881042,2.7252808,1.7017822,1.8474426
ACCESS-CM2,2,2.7015076,2.9429932,1.8931885,1.9524841
ACCESS-CM2,3,4.9786987,4.429016,3.8380432,3.3729248
ACCESS-CM2,4,5.5109863,5.824646,4.7752075,4.3074036
ACCESS-CM2,5,2.9102478,3.014557,1.7936096,1.8958435
ACCESS-CM2,6,5.019806,4.448395,3.8821106,3.2037964
ACCESS-CM2,7,5.724518,5.410858,4.8477783,4.129944
ACCESS-CM2,8,4.42099,4.457428,3.838745,3.3356323
ACCESS-CM2,9,2.4149475,2.493103,1.957367,1.8729248
ACCESS-CM2,10,5.80365,5.7287292,4.9704895,4.2504272
ACCESS-CM2,11,6.183899,6.107971,4.9381714,4.378479
ACCESS-CM2,12,5.8270874,5.5109863,4.878113,4.234253
ACCESS-CM2,13,5.724518,5.985504,4.794647,4.2608337
ACCESS-CM2,14,4.196991,4.759369,3.7079773,3.3127747
ACCESS-CM2,15,5.9897156,5.365448,4.9974365,4.358429
ACCESS-CM2,16,2.6964111,2.736908,2.0137634,1.9776917
ACCESS-CM2,17,2.6964111,2.592102,1.9425964,1.9092407
ACCESS-CM2,18,2.9429932,2.838684,1.9802246,1.7836304
ACCESS-CM2,19,5.80365,5.9897156,4.887848,4.38385
ACCESS-CM2,20,5.726959,5.827118,4.89386,4.258545
ACCESS-CM2,21,2.838684,2.9429932,1.8285828,1.9642334
ACCESS-CM2,22,3.0550537,2.9291077,2.0228882,1.8641052
ACCESS-CM2,23,2.3077698,2.3887024,1.9417725,1.929657
ACCESS-CM2,24,2.7750854,2.5682068,1.9277649,1.9946594
ACCESS-CM2,25,5.936676,5.788269,5.088623,4.2459717
ACCESS-CM2,26,2.6297607,2.5794067,1.7723694,1.8660583
ACCESS-CM2,27,5.4916077,5.9561157,4.8960876,4.2709045
ACCESS-CM2,28,5.823242,5.7311707,4.9143066,4.4244385
ACCESS-CM2,29,6.047455,5.8809814,5.0246277,4.2852783
ACCESS-CM2,30,4.6293945,4.6658325,3.754242,3.1887207
ACCESS-CM2,31,4.9809875,4.4095764,3.7826843,3.2185364
ACCESS-CM2,32,2.6376953,2.610321,2.0067444,1.8224792
ACCESS-CM2,33,2.857544,2.623352,1.8083191,1.9601135
ACCESS-CM2,34,2.5987854,2.5682068,1.9416504,1.7848816
ACCESS-CM2,35,5.472809,5.78891,4.9522095,4.2304688
ACCESS-CM2,36,2.7252808,2.8700867,1.9485168,1.7159424
ACCESS-CM2,37,5.823242,5.8795776,4.8217163,4.328766
ACCESS-CM2,38,2.6937866,2.7441406,2.0460205,1.6998291
ACCESS-CM2,39,2.5682068,2.6302795,1.8560486,1.9258728
ACCESS-CM2,40,5.7858276,5.8884277,4.777313,4.4368896
ACCESS-CM2,41,5.7287292,5.8313293,5.061859,4.34671
ACCESS-CM2,42,2.6791687,2.580597,1.8916626,1.9671326
ACCESS-CM2,43,6.0704956,5.6059875,5.0832214,4.331085
ACCESS-CM2,44,5.919647,6.0704956,5.057892,4.2001038
ACCESS-CM2,45,2.5490112,2.3929749,1.8666992,1.9639893
ACCESS-CM2,46,4.3573,4.3482666,3.7717896,3.0952454
ACCESS-CM2,47,5.823242,5.9897156,4.891449,4.1498413
ACCESS-CM2,48,6.179535,6.2072144,4.818573,4.166382
ACCESS-CM2,49,2.5987854,2.5682068,1.8745117,1.8085022
ACCESS-CM2,50,5.726959,5.985504,4.818451,4.2276
ACCESS-ESM1-5,1,2.2182922,2.2991638,1.4406738,1.6064758
ACCESS-ESM1-5,2,4.1624756,4.186371,4.2259827,3.9174194
ACCESS-ESM1-5,3,4.9272766,4.8937073,5.2703857,4.8675537
ACCESS-ESM1-5,4,2.1826782,2.315277,1.6233215,1.5264282
ACCESS-ESM1-5,5,4.2609863,4.16864,4.0052795,4.042328
ACCESS-ESM1-5,6,3.9976196,3.9648743,4.533142,4.1052856
ACCESS-ESM1-5,7,4.280487,4.272461,4.2778625,3.8596191
ACCESS-ESM1-5,8,2.2527466,2.1375732,1.7858582,1.5126038
ACCESS-ESM1-5,9,4.151947,4.1482544,4.368927,3.863556
ACCESS-ESM1-5,10,2.066742,1.9998779,1.38797,1.5464478
ACCESS-ESM1-5,11,4.8540344,4.8233337,5.366699,4.6754456
ACCESS-ESM1-5,12,2.195404,2.1278687,1.6098633,1.4403076
ACCESS-ESM1-5,13,2.0951233,2.2809753,1.5588379,1.4551392
ACCESS-ESM1-5,14,2.15448,2.1915283,1.4653015,1.5307922
ACCESS-ESM1-5,15,4.8389587,4.6687927,5.1829834,5.0016174
ACCESS-ESM1-5,16,2.2372742,2.315155,1.5351562,1.5422363
ACCESS-ESM1-5,17,4.92099,4.84494,5.150177,4.8250427
ACCESS-ESM1-5,18,4.869446,4.8404236,5.434784,4.808777
ACCESS-ESM1-5,19,4.103607,4.220581,4.4293823,3.872467
ACCESS-ESM1-5,20,2.1273804,2.1891174,1.5604553,1.375
ACCESS-ESM1-5,21,4.056061,4.052124,4.098633,3.9234924
ACCESS-ESM1-5,22,4.8691406,4.816864,5.516632,4.820038
ACCESS-ESM1-5,23,4.151764,4.155884,4.34256,3.8606567
ACCESS-ESM1-5,24,4.014984,4.0913696,4.4292297,3.9357605
ACCESS-ESM1-5,25,2.192505,2.2693481,1.6342163,1.4090576
ACCESS-ESM1-5,26,2.3381653,2.2299805,1.6997375,1.4234314
ACCESS-ESM1-5,27,4.824188,4.8511047,5.3457947,4.787018
ACCESS-ESM1-5,28,2.2632751,2.253601,1.6383972,1.4747009
ACCESS-ESM1-5,29,2.2145386,2.4397278,1.710907,1.4819641
ACCESS-ESM1-5,30,4.9252625,4.910736,5.3642273,4.7511597
ACCESS-ESM1-5,31,4.706299,4.7031555,5.1560364,4.7402344
ACCESS-ESM1-5,32,4.0299683,4.0414124,4.2010193,3.934143
ACCESS-ESM1-5,33,4.7114563,4.7059937,5.287781,4.8711853
ACCESS-ESM1-5,34,4.8016357,4.6007385,5.347931,4.8165894
ACCESS-ESM1-5,35,2.2557983,2.150238,1.5643616,1.5175476
ACCESS-ESM1-5,36,4.281891,4.380127,4.1068115,3.9009094
ACCESS-ESM1-5,37,2.1902466,2.1519165,1.5040588,1.5532532
ACCESS-ESM1-5,38,2.1993713,2.0196838,1.5429993,1.5135193
ACCESS-ESM1-5,39,4.2476807,4.247345,4.411255,3.7730408
ACCESS-ESM1-5,40,1.9388428,2.1673584,1.5538635,1.4642334
ACCESS-ESM1-5,41,4.892273,4.990082,5.499634,4.697876
ACCESS-ESM1-5,42,4.183899,4.2437134,4.3769226,3.8611755
ACCESS-ESM1-5,43,4.2278748,4.353821,4.2226562,3.8565063
ACCESS-ESM1-5,44,4.316742,4.1498413,4.4627686,3.8814392
ACCESS-ESM1-5,45,2.1435547,2.1679688,1.4795837,1.6890564
ACCESS-ESM1-5,46,4.731262,4.759369,5.368103,4.901428
ACCESS-ESM1-5,47,4.1312866,4.180298,4.42572,3.9183044
ACCESS-ESM1-5,48,2.104065,2.0949707,1.4839172,1.5219727
ACCESS-ESM1-5,49,4.1612854,4.154541,4.3697815,3.8295288
ACCESS-ESM1-5,50,4.8023987,4.797577,5.3034973,4.607422
CESM2,1,4.4574585,4.2803345,3.868805,3.8372498
CESM2,2,5.4207153,5.5231934,4.639435,4.6903076
CESM2,3,4.2380066,4.258789,3.9450378,3.844757
CESM2,4,5.5231934,5.8126526,4.8451843,4.4382935
CESM2,5,5.649811,5.44281,4.8471375,4.5471497
CESM2,6,2.3788147,2.5107422,1.867279,1.7366943
CESM2,7,4.2803345,4.2380066,3.9558716,3.9035034
CESM2,8,5.64682,5.4207153,5.041626,4.58374
CESM2,9,2.571106,2.3788147,1.6395874,1.6415405
CESM2,10,5.44281,5.5961,4.6579895,4.567932
CESM2,11,2.3788147,2.466339,1.7926636,1.7264404
CESM2,12,5.649811,5.8126526,5.013916,4.612549
CESM2,13,4.2803345,4.2380066,3.9595947,3.5705872
CESM2,14,4.2803345,4.2380066,3.9304504,3.7960815
CESM2,15,4.4574585,4.2803345,4.129486,3.7484436
CESM2,16,5.4207153,5.8126526,4.878784,4.345215
CESM2,17,4.2380066,4.258789,4.063843,3.7594604
CESM2,18,4.258789,4.3114624,4.222351,3.827118
CESM2,19,4.2380066,4.258789,3.8667297,4.027069
CESM2,20,4.2803345,4.3114624,4.0984497,3.793579
CESM2,21,5.5961,5.44281,4.91391,4.5438232
CESM2,22,2.571106,2.5107422,1.9677429,1.888794
