version,iter,trend_y_true,trend_y_truesecond,trend_y_hat,trend_yera_hat
ACCESS-CM2,1,4.187958,4.759369,4.433899,3.7896118
ACCESS-CM2,2,4.6293945,4.6658325,4.144226,3.8058167
ACCESS-CM2,3,4.552429,5.114807,4.2070007,3.7686157
ACCESS-ESM1-5,1,4.345581,4.3253174,4.42984,3.599701
ACCESS-ESM1-5,2,4.2489624,4.269226,4.5957336,3.8617249
ACCESS-ESM1-5,3,4.0575256,4.129364,4.6829224,3.9560242
CESM2,1,4.4574585,4.3114624,4.4873962,3.6074219
CESM2,2,4.4574585,4.3114624,4.699341,3.9179688
CESM2,3,4.4574585,4.2803345,4.8165894,3.6309814
CanESM5,1,5.6039734,5.6872253,4.6309814,3.7760315
CanESM5,2,5.51474,5.358795,4.690094,3.7650146
CanESM5,3,5.6549683,5.6951904,4.628784,3.8888855
CanESM5-CanOE,1,5.5905457,5.569763,4.4938965,3.8668213
CanESM5-CanOE,2,5.65625,5.6770325,4.768738,3.7195435
CanESM5-CanOE,3,5.6573486,5.6770325,4.8547363,3.7437744
EC-Earth3,1,4.12442,4.229553,4.2532654,3.9145203
EC-Earth3,2,4.334839,3.822876,4.1911926,3.789734
EC-Earth3,3,3.7079468,4.3095093,3.7653198,3.6735535
EC-Earth3-Veg,1,3.6566772,4.3567505,3.8789368,3.784607
EC-Earth3-Veg,2,4.6641235,4.100525,4.2578735,3.891632
EC-Earth3-Veg,3,4.100525,4.547058,3.8248901,3.7842407
EC-Earth3-Veg-LR,1,4.51593,4.520172,4.0849915,3.7726746
EC-Earth3-Veg-LR,2,4.520172,4.3836975,3.8404846,3.8243408
EC-Earth3-Veg-LR,3,4.520172,4.51593,3.9353638,3.7414856
GISS-E2-1-G,1,3.8491516,3.8617249,4.0188293,3.7479858
GISS-E2-1-G,2,4.2478943,4.2296143,4.067169,3.8428955
GISS-E2-1-G,3,4.417633,4.395813,3.995819,3.801422
GISS-E2-1-H,1,3.4587097,3.9787292,4.7938538,3.827179
GISS-E2-1-H,2,3.5708618,3.5578918,4.5633545,3.9101562
GISS-E2-1-H,3,3.625122,3.5708618,4.475189,3.8805542
GISS-E2-2-G,1,3.9571228,3.9985046,3.0057373,3.6865234
GISS-E2-2-G,2,3.4654236,3.4240417,3.0733948,3.8520508
GISS-E2-2-G,3,3.4655762,3.4277039,3.2155762,4.013977
INM-CM5-0,1,3.4263306,3.3713684,4.235504,3.9055176
INM-CM5-0,2,3.2721252,3.4008484,4.0338745,3.7851257
INM-CM5-0,3,3.3486328,3.403595,4.066803,3.8298035
IPSL-CM6A-LR,1,4.7782593,4.8157654,3.7494507,3.63385
IPSL-CM6A-LR,2,4.663849,4.588806,3.7073975,3.6552734
IPSL-CM6A-LR,3,4.794098,4.803192,3.7896729,3.7992249
MIROC-ES2L,1,3.3917236,3.415741,4.099579,3.5472107
MIROC-ES2L,2,3.4897766,3.5102844,4.1142273,3.8594666
MIROC-ES2L,3,3.468872,3.4603577,4.107239,3.7318726
MIROC6,1,3.164978,3.171875,4.444275,3.7277832
MIROC6,2,3.2224426,3.1794434,4.345093,3.8463745
MIROC6,3,3.2193909,3.1678467,4.360016,3.9326782
UKESM1-0-LL,1,5.6828613,5.673523,4.4759827,3.7557678
UKESM1-0-LL,2,5.657501,5.661865,4.3636475,3.7947083
UKESM1-0-LL,3,5.61557,5.601898,4.4833984,3.674469
