driving_model,scenario,is_test,file_glob,source,members_used
ACCESS-CM2,ssp585,True,data_DAT_ACCESS-CM2_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
ACCESS-ESM1-5,ssp585,True,data_DAT_ACCESS-ESM1-5_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5,ssp585,True,data_DAT_CanESM5_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5-1,ssp585,True,data_DAT_CanESM5-1_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5-CanOE,ssp585,True,data_DAT_CanESM5-CanOE_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CESM2,ssp585,True,data_DAT_CESM2_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CESM2-WACCM,ssp585,True,data_DAT_CESM2-WACCM_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3,ssp585,True,data_DAT_EC-Earth3_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3-CC,ssp585,True,data_DAT_EC-Earth3-CC_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3-Veg,ssp585,True,data_DAT_EC-Earth3-Veg_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3-Veg-LR,ssp585,True,data_DAT_EC-Earth3-Veg-LR_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
FGOALS-g3,ssp585,True,data_DAT_FGOALS-g3_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GFDL-CM4,ssp585,True,data_DAT_GFDL-CM4_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GFDL-ESM4,ssp585,True,data_DAT_GFDL-ESM4_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GISS-E2-1-G,ssp585,True,data_DAT_GISS-E2-1-G_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GISS-E2-1-H,ssp585,True,data_DAT_GISS-E2-1-H_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GISS-E2-2-G,ssp585,True,data_DAT_GISS-E2-2-G_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
HadGEM3-GC31-LL,ssp585,True,data_DAT_HadGEM3-GC31-LL_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
HadGEM3-GC31-MM,ssp585,True,data_DAT_HadGEM3-GC31-MM_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
INM-CM4-8,ssp585,True,data_DAT_INM-CM4-8_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
INM-CM5-0,ssp585,True,data_DAT_INM-CM5-0_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
IPSL-CM6A-LR,ssp585,True,data_DAT_IPSL-CM6A-LR_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
MIROC-ES2L,ssp585,True,data_DAT_MIROC-ES2L_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
MIROC6,ssp585,True,data_DAT_MIROC6_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
UKESM1-0-LL,ssp585,True,data_DAT_UKESM1-0-LL_ssp585_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
ACCESS-CM2,abrupt-4xCO2,True,data_DAT_ACCESS-CM2_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
ACCESS-ESM1-5,abrupt-4xCO2,True,data_DAT_ACCESS-ESM1-5_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5,abrupt-4xCO2,True,data_DAT_CanESM5_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5-1,abrupt-4xCO2,True,data_DAT_CanESM5-1_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5-CanOE,abrupt-4xCO2,True,data_DAT_CanESM5-CanOE_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CESM2,abrupt-4xCO2,True,data_DAT_CESM2_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CESM2-WACCM,abrupt-4xCO2,True,data_DAT_CESM2-WACCM_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3,abrupt-4xCO2,True,data_DAT_EC-Earth3_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3-CC,abrupt-4xCO2,True,data_DAT_EC-Earth3-CC_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3-Veg,abrupt-4xCO2,True,data_DAT_EC-Earth3-Veg_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3-Veg-LR,abrupt-4xCO2,True,data_DAT_EC-Earth3-Veg-LR_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
FGOALS-g3,abrupt-4xCO2,True,data_DAT_FGOALS-g3_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GFDL-CM4,abrupt-4xCO2,True,data_DAT_GFDL-CM4_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GFDL-ESM4,abrupt-4xCO2,True,data_DAT_GFDL-ESM4_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GISS-E2-1-G,abrupt-4xCO2,True,data_DAT_GISS-E2-1-G_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GISS-E2-1-H,abrupt-4xCO2,True,data_DAT_GISS-E2-1-H_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GISS-E2-2-G,abrupt-4xCO2,True,data_DAT_GISS-E2-2-G_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
HadGEM3-GC31-LL,abrupt-4xCO2,True,data_DAT_HadGEM3-GC31-LL_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
HadGEM3-GC31-MM,abrupt-4xCO2,True,data_DAT_HadGEM3-GC31-MM_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
INM-CM4-8,abrupt-4xCO2,True,data_DAT_INM-CM4-8_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
INM-CM5-0,abrupt-4xCO2,True,data_DAT_INM-CM5-0_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
IPSL-CM6A-LR,abrupt-4xCO2,True,data_DAT_IPSL-CM6A-LR_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
MIROC-ES2L,abrupt-4xCO2,True,data_DAT_MIROC-ES2L_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
MIROC6,abrupt-4xCO2,True,data_DAT_MIROC6_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
UKESM1-0-LL,abrupt-4xCO2,True,data_DAT_UKESM1-0-LL_abrupt-4xCO2_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
ACCESS-CM2,historical,False,data_DAT_ACCESS-CM2_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
ACCESS-ESM1-5,historical,False,data_DAT_ACCESS-ESM1-5_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5,historical,False,data_DAT_CanESM5_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5-1,historical,False,data_DAT_CanESM5-1_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5-CanOE,historical,False,data_DAT_CanESM5-CanOE_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CESM2,historical,False,data_DAT_CESM2_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CESM2-WACCM,historical,False,data_DAT_CESM2-WACCM_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
EC-Earth3,historical,False,data_DAT_EC-Earth3_historical_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
