semantic_role,manuscript_role,model_variant,artifact_path,prepared_data,raw_dependency,status
training_inference_workflow,main,GCMagicc,figures/main/training_inference_workflow/gcmagicc_training_inference_workflow.pdf,release-native,,complete
turkiye_regional_scenarios,main,GCMagicc,figures/main/turkiye_regional_scenarios/turkiye_regional_scenarios.pdf,data/derived/turkiye_regional_scenarios,,complete
iran_drought_attribution,main,GCMagicc,figures/main/iran_drought_attribution/iran_drought_attribution_gcmagicc_v100.pdf,data/derived/iran_drought_attribution,,complete
validation_diagnostics,main,GCMagicc,figures/main/validation_diagnostics/validation_diagnostics_v100_draw_007_20260504_0617.pdf,data/derived/validation_diagnostics,validation-metrics-sqlite,frozen
observational_alignment,main,GCMagicc,figures/main/observational_alignment/observational_alignment_v100_20260720_030533.pdf,data/derived/observational_alignment,validation-metrics-sqlite,frozen
emergent_constraints,supplementary,GCMagicc-PM,figures/supplementary/emergent_constraints/emergent_constraints.pdf,data/derived/emergent_constraints,gcmagicc-pm-bundle,prepared-data-complete
resolution_sensitivity,supplementary,GCMagicc-CE,figures/supplementary/resolution_sensitivity,metadata-only,gcmagicc-ce-checkpoints,frozen
aerosol_sensitivity,supplementary,GCMagicc-CE,figures/supplementary/aerosol_sensitivity,data/derived/aerosol_sensitivity,gcmagicc-ce-checkpoints,frozen
gcmagicc_xs_extrapolation,supplementary,GCMagicc-XS,figures/supplementary/gcmagicc_xs_extrapolation,data/derived/gcmagicc_xs,gcmagicc-xs-bundle,compact-replot-complete
spei_sensitivity,supplementary,GCMagicc and GCMagicc-CE,figures/supplementary/spei_sensitivity/iran_spei_sensitivity_native.pdf,data/derived/spei_sensitivity,,frozen
