source_repository,source_revision,source_path,destination,sha256,bytes,copyright,license,role
2025magicc,67e3609782c400bff42a04e384fb7fd0ec12bf9a,derived from output_resampled_100/AR6/runmode_natural/ssp245_ar6_natural.parquet run_id=0,data/natural_forcing_ssp245_ar6_run0_1850-2100.csv,089372873cc283e8188c94dc9818cd0b75b694e4f38457f2925d516169c3e801,10575,Malte Meinshausen and GCMagicc evaluation suite contributors,CC-BY-4.0,natural-forcing predictor data
2025magicc,67e3609782c400bff42a04e384fb7fd0ec12bf9a,derived from output_resampled_100/AR6/runmode_natural/ssp245_ar6_natural.parquet run_id=0,src/gcmagicc_eval/__init__.py,8cc2e790c8e8375ea56082471e5666eba4ffdc936615d9606829dd58d648b2c2,91,Malte Meinshausen and GCMagicc evaluation suite contributors,CC-BY-4.0,natural-forcing predictor data
gcmmagicc,bc0a782e019d4d04bf60fad676ac46758145fae4,scr/__init__.py,src/gcmagicc_eval/helpers/__init__.py,0a3400f9833c2310b80d4143dde1d7955bae32298df0683d386976f9129e4e2c,85,Malte Meinshausen and GCMagicc evaluation suite contributors,Apache-2.0,evaluation helper
cmipcruncher_firefly,e310d238536fa136eacb5e7ace118b1ec2cc0837,src/cmip6cruncher/operations.py,src/gcmagicc_eval/helpers/cmip6_operations.py,0ea8a5c132b9d8f9dad68c6394620d6eab6af3bad1dfff0e6c6b8332b35a72a3,209940,Malte Meinshausen and GCMagicc evaluation suite contributors,Apache-2.0,training-data smoothing helper
gcmmagicc,bc0a782e019d4d04bf60fad676ac46758145fae4,scr/parallel/__init__.py,src/gcmagicc_eval/helpers/parallel/__init__.py,da1343abd1e806cd7e694e51671a2cfb446979d4faa1c45f6bd7d5e7fe65e0e6,43,Malte Meinshausen and GCMagicc evaluation suite contributors,Apache-2.0,evaluation helper
gcmmagicc,bc0a782e019d4d04bf60fad676ac46758145fae4,scr/parallel/autoscaler.py,src/gcmagicc_eval/helpers/parallel/autoscaler.py,db19bddd911deb94afa390a0023ace040b03d3c115a38b1b7c04268b498eff0d,1808,Malte Meinshausen and GCMagicc evaluation suite contributors,Apache-2.0,evaluation helper
gcmmagicc,bc0a782e019d4d04bf60fad676ac46758145fae4,scr/validation_helpers/__init__.py,src/gcmagicc_eval/helpers/validation_helpers/__init__.py,aba14e344e0c256b0a4277f57df508ed639da9164d1db06ce13475b113467514,2825,Malte Meinshausen and GCMagicc evaluation suite contributors,Apache-2.0,evaluation helper
gcmmagicc,bc0a782e019d4d04bf60fad676ac46758145fae4,scr/validation_helpers/chunking.py,src/gcmagicc_eval/helpers/validation_helpers/chunking.py,1202445971782b31edad3e831fe8cc661af0fef3f05c90da641dbb6469b7c8d2,2363,Malte Meinshausen and GCMagicc evaluation suite contributors,Apache-2.0,evaluation helper
gcmmagicc,bc0a782e019d4d04bf60fad676ac46758145fae4,scr/validation_helpers/cmip6_350_worker.py,src/gcmagicc_eval/helpers/validation_helpers/cmip6_350_worker.py,a27dc8223b2f36e6cdf6416fe07cae726008d73e39d59084b1dca84489ec95dd,75415,Malte Meinshausen and GCMagicc evaluation suite contributors,Apache-2.0,evaluation helper
gcmmagicc,bc0a782e019d4d04bf60fad676ac46758145fae4,scr/validation_helpers/cmip7_351_worker.py,src/gcmagicc_eval/helpers/validation_helpers/cmip7_351_worker.py,53e6ff2f123b1c6177fa6f14d195e1c613d251b672f7f390007675dbe10cd3b5,61401,Malte Meinshausen and GCMagicc evaluation suite contributors,Apache-2.0,evaluation helper
